passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds,targets,receptions,player_id,player_name,position,team,fantasy_points,completions
0,0,0.0,0,0.0,0,2.58671170740854e-05,2.0917615e-11,00-0040494,Max Brosmer,QB,MIN,2.0917615e-11,0.0
0,0,0.0,0,0.0,0,0.000326343608321622,3.296543e-09,00-0040506,Myles Price,WR,MIN,3.296543e-09,
0,0,0.0,0,0.0,0,0.0004962745006196201,6.9318062e-09,00-0040509,Ben Yurosek,TE,MIN,6.9318062e-09,
0,0,0.0,0,0.0,0,4.025835369247943e-05,3.2555184e-11,00-0033077,Dak Prescott,QB,DAL,3.2555184e-11,0.0
0,0,0.0,0,0.0,0,0.653282642364502,1.3065652,00-0035243,Miles Sanders,RB,DAL,1.3065652,
0,0,0.0,0,0.0,0,0.000507905671838671,5.130583e-09,00-0035639,Parris Campbell,WR,DAL,5.130583e-09,
0,0,0.0,0,0.0,0,2.5835800170898438,18.085054,00-0036358,CeeDee Lamb,WR,DAL,18.085054,
0,0,0.0,0,0.0,0,0.36795929074287415,0.36795983,00-0036997,Javonte Williams,RB,DAL,0.36795983,
0,0,0.0,0,0.0,0,4.061242580413818,44.67364,00-0037247,George Pickens,WR,DAL,44.67364,
0,0,0.0,0,0.0,0,0.00039977862616069615,3.127865e-09,00-0037563,Malik Davis,RB,DAL,3.127865e-09,
0,0,0.0,0,0.0,0,0.3721539378166199,0.37215504,00-0037666,Jalen Tolbert,WR,DAL,0.37215504,
0,0,0.0,0,0.0,0,0.742301344871521,1.4846035,00-0037801,KaVontae Turpin,WR,DAL,1.4846035,
0,0,0.0,0,0.0,0,1.8386796712875366,9.193394,00-0038041,Jake Ferguson,TE,DAL,9.193394,
0,0,0.0,0,0.0,0,0.6150407195091248,1.2300822,00-0038547,Luke Schoonmaker,TE,DAL,1.2300822,
0,0,0.0,0,0.0,0,0.0007723781163804233,1.0788335e-08,00-0038735,Princeton Fant,TE,DAL,1.0788335e-08,
0,0,0.0,0,0.0,0,1.1060917377471924,3.3182733,00-0038738,Hunter Luepke,RB,DAL,3.3182733,
0,0,0.0,0,0.0,0,0.000507905671838671,5.130583e-09,00-0038740,Jalen Cropper,WR,DAL,5.130583e-09,
0,0,0.0,0,0.0,0,0.8795204758644104,3.518082,00-0039062,Jonathan Mingo,WR,DAL,3.518082,
0,0,0.0,0,0.0,0,4.025835369247943e-05,3.2555184e-11,00-0039398,Joe Milton III,QB,DAL,3.2555184e-11,0.0
0,0,0.0,0,0.0,0,0.3721539378166199,0.37215504,00-0039410,Ryan Flournoy,WR,DAL,0.37215504,
0,0,0.0,0,0.0,0,0.36598363518714905,0.36598495,00-0039530,Brevyn Spann-Ford,TE,DAL,0.36598495,
0,0,0.0,0,0.0,0,0.00039977862616069615,3.127865e-09,00-0040586,Jaydon Blue,RB,DAL,3.127865e-09,
0,0,0.0,0,0.0,0,3.547088635968976e-05,2.8683765e-11,00-0026300,Josh Johnson,QB,WAS,2.8683765e-11,0.0
0,0,0.0,0,0.0,0,1.5989069938659668,12.7912445,00-0030061,Zach Ertz,TE,WAS,12.7912445,
0,0,0.0,0,0.0,0,3.547088635968976e-05,2.8683765e-11,00-0032268,Marcus Mariota,QB,WAS,2.8683765e-11,0.0
0,0,0.0,0,0.0,0,0.9941883683204651,4.970941,00-0032398,Chris Moore,WR,WAS,4.970941,
0,0,0.0,0,0.0,0,0.1990852952003479,0.19908589,00-0032688,Robbie Chosen,WR,WAS,0.19908589,
0,0,0.0,0,0.0,0,0.6314980387687683,2.5259922,00-0033591,Noah Brown,WR,WAS,2.5259922,
0,0,0.0,0,0.0,0,0.6332258582115173,2.5329015,00-0033699,Austin Ekeler,RB,WAS,2.5329015,
0,0,0.0,0,0.0,0,0.3982982933521271,0.79659647,00-0033955,Jeremy McNichols,RB,WAS,0.79659647,
0,0,0.0,0,0.0,0,0.186630517244339,0.18663107,00-0034054,River Cracraft,WR,WAS,0.18663107,
0,0,0.0,0,0.0,0,0.00035223751910962164,2.7559037e-09,00-0034681,Chase Edmonds,RB,WAS,2.7559037e-09,
0,0,0.0,0,0.0,0,0.923486590385437,4.617432,00-0034764,Michael Gallup,WR,WAS,4.617432,
0,0,0.0,0,0.0,0,0.0006805279990658164,9.505401e-09,00-0035356,Tyree Jackson,TE,WAS,9.505401e-09,
0,0,0.0,0,0.0,0,0.8866448998451233,3.5465796,00-0035659,Terry McLaurin,WR,WAS,3.5465796,
0,0,0.0,0,0.0,0,1.591526746749878,12.732208,00-0035719,Deebo Samuel Sr.,WR,WAS,12.732208,
0,0,0.0,0,0.0,0,0.5472923517227173,1.0945853,00-0036145,Lawrence Cager,TE,WAS,1.0945853,
0,0,0.0,0,0.0,0,0.3347020149230957,0.334703,00-0036345,K.J. Osborn,WR,WAS,0.334703,
0,0,0.0,0,0.0,0,0.5587337613105774,1.1174682,00-0036628,John Bates,TE,WAS,1.1174682,
0,0,0.0,0,0.0,0,0.00035223751910962164,2.7559037e-09,00-0036654,Demetric Felton,RB,WAS,2.7559037e-09,
0,0,0.0,0,0.0,0,0.1689838171005249,0.16898443,00-0037078,Cole Turner,TE,WAS,0.16898443,
0,0,0.0,0,0.0,0,0.3421277701854706,0.68425596,00-0037355,Braylon Sanders,WR,WAS,0.68425596,
0,0,0.0,0,0.0,0,0.3347020149230957,0.334703,00-0037524,Tay Martin,WR,WAS,0.334703,
0,0,0.0,0,0.0,0,0.8377025723457336,2.513108,00-0037742,Treylon Burks,WR,WAS,2.513108,
0,0,0.0,0,0.0,0,0.199028879404068,0.19902916,00-0038611,Chris Rodriguez Jr.,RB,WAS,0.19902916,
0,0,0.0,0,0.0,0,0.00044750625966116786,4.5204613e-09,00-0039355,Luke McCaffrey,WR,WAS,4.5204613e-09,
0,0,0.0,0,0.0,0,0.19866499304771423,0.19866571,00-0039686,Colson Yankoff,TE,WAS,0.19866571,
0,0,0.0,0,0.0,0,3.547088635968976e-05,2.8683765e-11,00-0039910,Jayden Daniels,QB,WAS,2.8683765e-11,0.0
0,0,0.0,0,0.0,0,0.27724871039390564,0.2772497,00-0039912,Ben Sinnott,TE,WAS,0.2772497,
0,0,0.0,0,0.0,0,0.1990852952003479,0.19908589,00-0040164,Jaylin Lane,WR,WAS,0.19908589,
0,0,0.0,0,0.0,0,0.199028879404068,0.19902916,00-0040242,Jacory Croskey-Merritt,RB,WAS,0.19902916,
0,0,0.0,0,0.0,0,0.1990852952003479,0.19908589,00-0040317,Jacoby Jones,WR,WAS,0.19908589,
0,0,0.0,0,0.0,0,0.4031621813774109,0.40316275,00-0032104,Ameer Abdullah,RB,IND,0.40316275,
0,0,0.0,0,0.0,0,0.00037882773904129863,3.8267087e-09,00-0032951,Laquon Treadwell,WR,IND,3.8267087e-09,
0,0,0.0,0,0.0,0,0.4021844267845154,0.40218586,00-0033217,Mo Alie-Cox,TE,IND,0.40218586,
0,0,0.0,0,0.0,0,3.002718949574046e-05,2.4281684e-11,00-0034955,Brett Rypien,QB,IND,2.4281684e-11,0.0
0,0,0.0,0,0.0,0,0.00037882773904129863,3.8267087e-09,00-0035021,Ashton Dulin,WR,IND,3.8267087e-09,
