,player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type_x,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr,season_type_y,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
10,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,13,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,20,79.0,0,0.0,0.0,2.0,-4.152731790149119,0,0,1,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.8476152366492897,0,0.0,0.034482758620689655,0.0,0.05172413793103448,0.0,7.9,7.9,REG,RB,IND,4.1496202531645565,30.0,2.746157894736842,20,79,,,3.95,,,0,00-0023500,Frank,Gore,23,F.Gore
11,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,14,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,10,41.0,0,0.0,0.0,2.0,-1.5644584173569456,0,2,2,33.0,1,0.0,0.0,-3.0,36.0,2.0,3.4656046392628923,0,-11.0,0.045454545454545456,-0.00872093023255814,0.06207716701902748,0.0,13.4,15.4,REG,RB,IND,3.784878048780488,10.0,2.211,10,41,,,4.1,,,0,00-0023500,Frank,Gore,23,F.Gore
12,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,15,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,26,101.0,0,0.0,0.0,5.0,-0.6321859762163919,0,4,4,14.0,0,0.0,0.0,5.0,9.0,0.0,-0.3143980875611305,0,2.8,0.14285714285714285,0.021834061135371178,0.2295695570804741,0.0,11.5,15.5,REG,RB,IND,3.3214851485148524,15.384615384615385,2.3588076923076917,26,101,,,3.8846153846153846,,,0,00-0023500,Frank,Gore,23,F.Gore
13,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,16,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,13,72.0,0,1.0,1.0,2.0,-2.9747944662813097,0,1,2,12.0,0,0.0,0.0,-2.0,18.0,1.0,0.5124659109860659,0,-6.0,0.06896551724137931,-0.007272727272727273,0.09835736677115987,0.0,6.4,7.4,REG,RB,IND,3.0940277777777774,7.6923076923076925,2.295230769230769,13,72,,,5.538461538461538,,,0,00-0023500,Frank,Gore,23,F.Gore
14,00-0023500,F.Gore,Frank Gore,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/lxxkhd2suyalrbruzut7",IND,2016,17,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,16,62.0,0,0.0,0.0,2.0,-2.5790679374476895,0,2,2,14.0,0,0.0,0.0,-7.0,21.0,1.0,0.9906723031308502,0,-2.0,0.05263157894736842,-0.020172910662824207,0.06482633095707568,0.0,7.6000000000000005,9.600000000000001,REG,RB,IND,3.9075806451612904,31.25,2.685714285714286,16,62,,,3.875,,,0,00-0023500,Frank,Gore,23,F.Gore
15,00-0023564,D.Sproles,Darren Sproles,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvj5ng27blmwuz170aeo",PHI,2016,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,12,40.0,0,0.0,0.0,2.0,-3.9548678565770388,0,2,2,8.0,0,0.0,0.0,-3.0,11.0,0.0,-1.088425302063115,0,-2.6666666666666665,0.06060606060606061,-0.011583011583011582,0.0828009828009828,0.0,4.800000000000001,6.800000000000001,REG,RB,PHI,5.4185,0.0,2.941909090909091,12,40,,,3.3333333333333335,,,0,00-0023564,Darren,Sproles,43,D.Sproles
16,00-0023564,D.Sproles,Darren Sproles,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvj5ng27blmwuz170aeo",PHI,2016,8,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,15,86.0,0,0.0,0.0,5.0,1.9229509025462903,0,5,7,17.0,0,0.0,0.0,-16.0,30.0,1.0,-2.9661353988528223,0,-1.0625,0.1590909090909091,-0.08205128205128205,0.1812004662004662,0.0,10.3,15.3,REG,RB,PHI,3.7780232558139524,13.333333333333334,2.766,15,86,,,5.733333333333333,,,0,00-0023564,Darren,Sproles,43,D.Sproles
17,00-0023564,D.Sproles,Darren Sproles,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/gvj5ng27blmwuz170aeo",PHI,2016,9,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,13,57.0,0,0.0,0.0,3.0,-2.9035381191642955,0,3,9,14.0,0,0.0,0.0,10.0,11.0,1.0,-2.6835411799323956,0,1.4,0.19148936170212766,0.019193857965451054,0.30066974312900724,0.0,7.1000000000000005,10.100000000000001,REG,RB,PHI,4.343333333333333,7.6923076923076925,2.9216153846153854,13,57,,,4.384615384615385,,,0,00-0023564,Darren,Sproles,43,D.Sproles
18,00-0024242,,DeAngelo Williams,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oky9ooitgqa1fgwdll6b",PIT,2016,1,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,26,143.0,2,0.0,0.0,9.0,7.44637806143146,0,6,9,28.0,0,0.0,0.0,-15.0,39.0,0.0,-2.7075091885053553,0,-1.8666666666666667,0.24324324324324326,-0.06172839506172839,0.32165498832165507,0.0,29.1,35.1,REG,RB,PIT,3.31090909090909,34.61538461538461,2.8448846153846157,26,143,,,5.5,,,2,00-0024242,DeAngelo,Williams,34,D.Williams
19,00-0024242,,DeAngelo Williams,RB,RB,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/oky9ooitgqa1fgwdll6b",PIT,2016,2,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,,0,,,32,94.0,0,0.0,0.0,4.0,-8.575479661347345,0,4,5,38.0,1,0.0,0.0,11.0,32.0,3.0,3.107804119016293,0,3.4545454545454546,0.13513513513513514,0.024886877828054297,0.22012351718234072,0.0,19.200000000000003,23.200000000000003,REG,RB,PIT,6.0638297872340425,21.875,3.2294482758620684,32,94,5.482005567551539,-2.482005567551539,2.9375,-1.2410027837757696,0.5,0,00-0024242,DeAngelo,Williams,34,D.Williams
