,season,season_type,week,player_display_name,player_position,team_abbr,efficiency,percent_attempts_gte_eight_defenders,avg_time_to_los,rush_attempts,rush_yards,expected_rush_yards,rush_yards_over_expected,avg_rush_yards,rush_yards_over_expected_per_att,rush_pct_over_expected,rush_touchdowns,player_gsis_id,player_first_name,player_last_name,player_jersey_number,player_short_name
30,2016,REG,0,Le'Veon Bell,RB,PIT,3.9478785488958983,24.521072796934863,3.0727782258064527,261,1268,,,4.85823754789272,,,7,00-0030496,Le'Veon,Bell,26,L.Bell
31,2016,REG,0,Jacquizz Rodgers,RB,TB,3.6650178571428587,24.8062015503876,2.680044642857143,129,560,,,4.341085271317829,,,2,00-0028083,Jacquizz,Rodgers,32,J.Rodgers
32,2016,REG,0,Terrance West,RB,BAL,4.142441860465115,21.761658031088082,2.8047928994082842,193,774,,,4.010362694300518,,,5,00-0031375,Terrance,West,28,T.West
33,2016,REG,0,Todd Gurley,RB,LAR,4.7833785310734465,25.899280575539567,2.533310204081632,278,885,20.78411245394733,-11.78411245394733,3.183453237410072,-1.964018742324555,0.3333333333333333,6,00-0032241,Todd,Gurley,30,T.Gurley
34,2016,REG,0,Darren Sproles,RB,PHI,3.9798858447488596,10.638297872340425,2.8127926829268284,94,438,,,4.659574468085107,,,2,00-0023564,Darren,Sproles,43,D.Sproles
35,2016,REG,0,DeAngelo Williams,RB,PIT,4.957172011661808,24.489795918367346,3.0757142857142856,98,343,5.482005567551539,-2.482005567551539,3.5,-1.2410027837757696,0.5,4,00-0024242,DeAngelo,Williams,34,D.Williams
36,2016,REG,0,Chris Ivory,RB,JAX,4.812850574712643,21.1864406779661,2.8285000000000013,118,435,5.355958471859168,4.644041528140832,3.6864406779661016,2.322020764070416,0.5,3,00-0027531,Chris,Ivory,33,
37,2016,REG,0,Jordan Howard,RB,CHI,3.6166412795125655,27.77777777777778,2.7219004329004335,252,1313,17.955091200550626,21.044908799449374,5.2103174603174605,4.208981759889875,0.4,6,00-0032780,Jordan,Howard,24,J.Howard
38,2016,REG,0,DeMarco Murray,RB,TEN,4.187264224473889,46.75767918088737,2.9033038461538463,293,1283,,,4.378839590443686,,,9,00-0028009,DeMarco,Murray,29,D.Murray
39,2016,REG,0,Matt Jones,RB,WAS,3.8946086956521753,29.292929292929294,2.834022727272728,99,460,,,4.646464646464646,,,3,00-0031939,Matt,Jones,31,
40,2016,REG,0,Theo Riddick,RB,DET,4.525714285714286,13.043478260869565,2.740135135135135,92,357,,,3.880434782608696,,,1,00-0030107,Theo,Riddick,25,
41,2016,REG,0,Frank Gore,RB,IND,3.7029941291585113,20.912547528517113,2.3430564516129047,263,1022,,,3.8859315589353614,,,4,00-0023500,Frank,Gore,23,F.Gore
42,2016,REG,0,Alfred Blue,RB,HOU,3.7713333333333328,20.0,2.400329787234042,100,420,3.71226833520117,-1.7122683352011698,4.2,-1.7122683352011698,0.0,1,00-0031075,Alfred,Blue,28,A.Blue
43,2016,REG,0,Justin Forsett,RB,DEN,5.292508591065293,8.045977011494253,2.806716216216217,87,291,,,3.3448275862068964,,,1,00-0026373,Justin,Forsett,20,J.Forsett
44,2016,REG,0,Ryan Mathews,RB,PHI,4.391981845688351,21.935483870967744,2.6877058823529403,155,661,,,4.264516129032258,,,8,00-0027864,Ryan,Mathews,24,
45,2016,REG,0,Zach Zenner,FB,DET,3.984161676646706,19.318181818181817,2.581418918918918,88,334,,,3.7954545454545454,,,4,00-0031665,Zach,Zenner,34,Z.Zenner
46,2016,REG,0,Lamar Miller,RB,HOU,4.0273477038425485,26.591760299625467,2.524483739837398,267,1067,,,3.9962546816479403,,,5,00-0029615,Lamar,Miller,26,L.Miller
47,2016,REG,0,Thomas Rawls,RB,SEA,4.920143266475645,18.34862385321101,2.533096774193548,109,349,,,3.2018348623853212,,,3,00-0031897,Thomas,Rawls,34,T.Rawls
48,2016,REG,0,Spencer Ware,RB,KC,3.966449511400651,21.962616822429908,2.820456852791877,214,921,,,4.303738317757009,,,3,00-0030414,Spencer,Ware,32,S.Ware
49,2016,REG,0,Christine Michael,RB,GB,4.576466552315609,20.945945945945947,2.6025859375000002,148,583,,,3.939189189189189,,,7,00-0030432,Christine,Michael,32,C.Michael
50,2016,REG,0,Mike Gillislee,RB,BUF,3.451594454072792,45.54455445544555,2.698117021276596,101,577,,,5.712871287128713,,,8,00-0030433,Mike,Gillislee,35,M.Gillislee
51,2016,REG,0,Derrick Henry,RB,TEN,4.1207346938775515,52.72727272727272,2.7930098039215685,110,490,,,4.454545454545454,,,5,00-0032764,Derrick,Henry,22,D.Henry
52,2016,REG,0,Rob Kelley,RB,WAS,4.077017045454546,22.61904761904762,2.684644736842104,168,704,,,4.190476190476191,,,6,00-0032371,Robert,Kelley,32,R.Kelley
53,2016,REG,1,LeSean McCoy,RB,BUF,5.544655172413794,31.25,2.970285714285714,16,58,,,3.625,,,1,00-0027029,LeSean,McCoy,25,L.McCoy
