FantasyPros.com 
 NFL Rankings 


Rank,Player Name,Team,Position,ECR,vs. ECR
1,Christian McCaffrey,SF,RB,1,0,
2,Drake Maye,NE,QB,2,0,
3,Lamar Jackson,BAL,QB,3,0,
4,Jahmyr Gibbs,DET,RB,4,0,
5,Patrick Mahomes II,KC,QB,6,1,
6,Josh Allen,BUF,QB,5,-1,
7,Jalen Hurts,PHI,QB,7,0,
8,Jaxon Smith-Njigba,SEA,WR,10,2,
9,Jonathan Taylor,IND,RB,9,0,
10,Bijan Robinson,ATL,RB,8,-2,
11,Matthew Stafford,LAR,QB,12,1,
12,Amon-Ra St. Brown,DET,WR,13,1,
13,Puka Nacua,LAR,WR,11,-2,
14,Brock Purdy,SF,QB,14,0,
15,Jared Goff,DET,QB,15,0,
16,Trey McBride,ARI,TE,16,0,
17,Jacoby Brissett,ARI,QB,17,0,
18,Caleb Williams,CHI,QB,20,2,
19,Rashee Rice,KC,WR,18,-1,
20,Dak Prescott,DAL,QB,19,-1,
21,Rico Dowdle,CAR,RB,21,0,
22,Davante Adams,LAR,WR,26,4,
23,CeeDee Lamb,DAL,WR,22,-1,
24,Sam Darnold,SEA,QB,24,0,
25,Trevor Lawrence,JAC,QB,29,4,
26,Daniel Jones,IND,QB,23,-3,
27,Baker Mayfield,TB,QB,25,-2,
28,Chase Brown,CIN,RB,32,4,
29,Jordan Love,GB,QB,27,-2,
30,Tee Higgins,CIN,WR,33,3,
31,Derrick Henry,BAL,RB,35,4,
32,Saquon Barkley,PHI,RB,28,-4,
33,Emeka Egbuka,TB,WR,31,-2,
34,Javonte Williams,DAL,RB,36,2,
35,Joe Flacco,CIN,QB,34,-1,
36,George Pickens,DAL,WR,46,10,
37,Stefon Diggs,NE,WR,37,0,
38,James Cook III,BUF,RB,38,0,
39,Tetairoa McMillan,CAR,WR,39,0,
40,Nico Collins,HOU,WR,30,-10,
41,George Kittle,SF,TE,42,1,
42,Brock Bowers,LV,TE,40,-2,
43,Bryce Young,CAR,QB,44,1,
44,Chris Olave,NO,WR,41,-3,
45,Ashton Jeanty,LV,RB,53,8,
46,Wan'Dale Robinson,NYG,WR,49,3,
47,Kyren Williams,LAR,RB,45,-2,
48,Jameis Winston,NYG,QB,47,-1,
49,Mason Rudolph,PIT,QB,115,66,
50,Zay Flowers,BAL,WR,57,7,
51,DeVonta Smith,PHI,WR,50,-1,
52,Jaylen Warren,PIT,RB,59,7,
53,Justin Jefferson,MIN,WR,48,-5,
54,Emanuel Wilson,GB,RB,79,25,
55,TreVeyon Henderson,NE,RB,43,-12,
56,Davis Mills,HOU,QB,54,-2,
57,Tyler Shough,NO,QB,52,-5,
58,Geno Smith,LV,QB,69,11,
59,J.J. McCarthy,MIN,QB,51,-8,
60,Jameson Williams,DET,WR,55,-5,
61,Michael Wilson,ARI,WR,66,5,
62,D'Andre Swift,CHI,RB,61,-1,
63,Tyrod Taylor,NYJ,QB,60,-3,
64,Aaron Jones Sr.,MIN,RB,67,3,
65,Breece Hall,NYJ,RB,64,-1,
66,Alvin Kamara,NO,RB,73,7,
67,David Montgomery,DET,RB,76,9,
68,A.J. Brown,PHI,WR,56,-12,
69,Rome Odunze,CHI,WR,68,-1,
70,Travis Kelce,KC,TE,72,2,
71,Michael Pittman Jr.,IND,WR,63,-8,
72,Tyler Warren,IND,TE,71,-1,
73,Jakobi Meyers,JAC,WR,85,12,
74,Woody Marks,HOU,RB,58,-16,
75,Kirk Cousins,ATL,QB,70,-5,
76,Jauan Jennings,SF,WR,75,-1,
77,Travis Etienne Jr.,JAC,RB,62,-15,
78,Shedeur Sanders,CLE,QB,83,5,
79,DK Metcalf,PIT,WR,74,-5,
80,Parker Washington,JAC,WR,97,17,
81,Romeo Doubs,GB,WR,78,-3,
82,Quinshon Judkins,CLE,RB,65,-17,
83,Kenneth Walker III,SEA,RB,77,-6,
84,Kyle Pitts Sr.,ATL,TE,89,5,
85,Zonovan Knight,ARI,RB,88,3,
86,Hunter Henry,NE,TE,82,-4,
87,Kareem Hunt,KC,RB,80,-7,
88,Cam Ward,TEN,QB,84,-4,
89,Darnell Mooney,ATL,WR,95,6,
90,Tyrone Tracy Jr.,NYG,RB,91,1,
91,Dallas Goedert,PHI,TE,87,-4,
92,Khalil Shakir,BUF,WR,81,-11,
93,Jake Ferguson,DAL,TE,90,-3,
94,Alec Pierce,IND,WR,86,-8,
95,Xavier Worthy,KC,WR,101,6,
96,Mark Andrews,BAL,TE,93,-3,
97,DJ Moore,CHI,WR,105,8,
98,Ricky Pearsall,SF,WR,92,-6,
99,Sean Tucker,TB,RB,96,-3,
100,Theo Johnson,NYG,TE,99,-1,
101,Bhayshul Tuten,JAC,RB,112,11,
102,Zach Charbonnet,SEA,RB,100,-2,
103,Tyjae Spears,TEN,RB,111,8,
104,Josh Downs,IND,WR,113,9,
105,Dalton Schultz,HOU,TE,106,1,
106,Cade Otton,TB,TE,102,-4,
107,Tez Johnson,TB,WR,104,-3,
108,Luther Burden III,CHI,WR,114,6,
109,Juwan Johnson,NO,TE,107,-2,
110,Tre Tucker,LV,WR,103,-7,
111,Rachaad White,TB,RB,108,-3,
112,Christian Watson,GB,WR,94,-18,
113,Jordan Addison,MIN,WR,98,-15,
114,Andrei Iosivas,CIN,WR,118,4,
115,Greg Dortch,ARI,WR,121,6,
116,AJ Barner,SEA,TE,122,6,
117,Tony Pollard,TEN,RB,124,7,
118,Kayshon Boutte,NE,WR,128,10,
119,Darius Slayton,NYG,WR,143,24,
120,Harold Fannin Jr.,CLE,TE,117,-3,
121,Cooper Kupp,SEA,WR,123,2,
122,Rhamondre Stevenson,NE,RB,125,3,
123,Chris Godwin Jr.,TB,WR,154,31,
124,Jerry Jeudy,CLE,WR,110,-14,
125,Colston Loveland,CHI,TE,116,-9,
126,Mack Hollins,NE,WR,120,-6,
127,Adonai Mitchell,NYJ,WR,145,18,
128,Mason Taylor,NYJ,TE,126,-2,
129,Mike Gesicki,CIN,TE,209,80,
130,Kenneth Gainwell,PIT,RB,109,-21,
131,Rashid Shaheed,SEA,WR,119,-12,
132,Jalen Coker,CAR,WR,130,-2,
133,Jayden Higgins,HOU,WR,127,-6,
134,Noah Fant,CIN,TE,133,-1,
135,Brenton Strange,JAC,TE,206,71,
136,Chimere Dike,TEN,WR,135,-1,
137,Kyle Monangai,CHI,RB,132,-5,
138,DeAndre Hopkins,BAL,WR,139,1,
139,Devin Singletary,NYG,RB,131,-8,
140,Matthew Golden,GB,WR,137,-3,
141,Taysom Hill,NO,TE,164,23,
142,Van Jefferson,TEN,WR,150,8,
143,Blake Corum,LAR,RB,146,3,
144,Joshua Palmer,BUF,WR,140,-4,
145,Xavier Legette,CAR,WR,129,-16,
146,Isaiah Likely,BAL,TE,149,3,
147,Darnell Washington,PIT,TE,159,12,
148,Michael Carter,ARI,RB,160,12,
149,Devaughn Vele,NO,WR,152,3,
150,DeMario Douglas,NE,WR,138,-12,
151,Marquise Brown,KC,WR,141,-10,
152,Tyrell Shavers,BUF,WR,165,13,
153,John Metchie III,NYJ,WR,156,3,
154,David Njoku,CLE,TE,142,-12,
155,Tim Patrick,JAC,WR,183,28,
156,Roman Wilson,PIT,WR,153,-3,
157,Cedric Tillman,CLE,WR,136,-21,
158,Tyler Allgeier,ATL,RB,144,-14,
159,Gabe Davis,BUF,WR,170,11,
160,Tyler Lockett,LV,WR,148,-12,
161,Brock Wright,DET,TE,157,-4,
162,KhaDarel Hodge,ATL,WR,182,20,
163,Colby Parkinson,LAR,TE,204,41,
164,Chig Okonkwo,TEN,TE,158,-6,
165,Elijah Moore,BUF,WR,241,76,
166,Dawson Knox,BUF,TE,151,-15,
167,Brashard Smith,KC,RB,175,8,
168,Dontayvion Wicks,GB,WR,178,10,
169,T.J. Hockenson,MIN,TE,134,-35,
170,Sterling Shepard,TB,WR,155,-15,
171,Jalen Nailor,MIN,WR,161,-10,
172,Chris Brooks,GB,RB,184,12,
173,Calvin Austin III,PIT,WR,162,-11,
174,Jonnu Smith,PIT,TE,166,-8,
175,Pat Freiermuth,PIT,TE,169,-6,
176,Michael Mayer,LV,TE,168,-8,
177,Mitch Tinsley,CIN,WR,190,13,
178,David Sills V,ATL,WR,201,23,
179,Gunnar Helm,TEN,TE,211,32,
180,Isaiah Davis,NYJ,RB,180,0,
181,Isaiah Hodgins,NYG,WR,163,-18,
182,Kalif Raymond,DET,WR,196,14,
183,Christian Kirk,HOU,WR,171,-12,
184,Olamide Zaccheaus,CHI,WR,189,5,
185,Brian Robinson Jr.,SF,RB,167,-18,
186,Luke Musgrave,GB,TE,176,-10,
187,Chuba Hubbard,CAR,RB,177,-10,
188,Devin Neal,NO,RB,188,0,
189,Demarcus Robinson,SF,WR,223,34,
190,Justice Hill,BAL,RB,208,18,
191,Kyle Juszczyk,SF,RB,214,23,
192,Nick Chubb,HOU,RB,179,-13,
193,Ja'Tavion Sanders,CAR,TE,185,-8,
194,Terrance Ferguson,LAR,TE,186,-8,
195,Terrell Jennings,NE,RB,222,27,
196,Xavier Weaver,ARI,WR,226,30,
197,Elijah Arroyo,SEA,TE,199,2,
198,Cole Kmet,CHI,TE,220,22,
199,Xavier Hutchinson,HOU,WR,192,-7,
200,Ty Johnson,BUF,RB,181,-19,
201,Raheem Mostert,LV,RB,197,-4,
202,Isaac TeSlaa,DET,WR,191,-11,
203,Jordan Mason,MIN,RB,172,-31,
204,KaVontae Turpin,DAL,WR,216,12,
205,Jaylin Noel,HOU,WR,187,-18,
206,Isaiah Williams,NYJ,WR,227,21,
207,Mason Kinsey,TEN,WR,230,23,
208,Elijah Higgins,ARI,TE,224,16,
209,Noah Gray,KC,TE,238,29,
210,Mason Tipton,NO,WR,244,34,
211,Ryan Flournoy,DAL,WR,203,-8,
212,Jordan Whittington,LAR,WR,212,0,
213,Kyle Williams,NE,WR,173,-40,
214,Austin Hooper,NE,TE,237,23,
215,Daniel Bellinger,NYG,TE,239,24,
216,Keaton Mitchell,BAL,RB,174,-42,
217,Tommy Tremble,CAR,TE,235,18,
218,Jerome Ford,CLE,RB,202,-16,
219,Isaiah Bond,CLE,WR,210,-9,
220,Foster Moreau,NO,TE,268,48,
221,Jalin Hyatt,NYG,WR,205,-16,
222,Tyquan Thornton,KC,WR,195,-27,
223,Tyler Johnson,NYJ,WR,232,9,
224,JuJu Smith-Schuster,KC,WR,219,-5,
225,Jahan Dotson,PHI,WR,194,-31,
226,Tank Bigsby,PHI,RB,200,-26,
227,John FitzPatrick,GB,TE,242,15,
228,Dyami Brown,JAC,WR,207,-21,
229,Dylan Sampson,CLE,RB,198,-31,
230,Tanner Hudson,CIN,TE,246,16,
231,Malik Davis,DAL,RB,213,-18,
232,Brycen Tremayne,CAR,WR,274,42,
233,Kendrick Bourne,SF,WR,193,-40,
234,Jackson Hawes,BUF,TE,248,14,
235,Davis Allen,LAR,TE,229,-6,
236,Malachi Corley,CLE,WR,233,-3,
237,Jeremy Ruckert,NYJ,TE,259,22,
238,Charlie Kolar,BAL,TE,262,24,
239,Will Shipley,PHI,RB,221,-18,
240,Dont'e Thornton Jr.,LV,WR,228,-12,
241,Savion Williams,GB,WR,231,-10,
242,Jack Bech,LV,WR,215,-27,
243,Xavier Smith,LAR,WR,283,40,
244,Tylan Wallace,BAL,WR,254,10,
245,Luke Schoonmaker,DAL,TE,278,33,
246,Adam Thielen,MIN,WR,275,29,
247,Arian Smith,NYJ,WR,272,25,
248,Ashton Dulin,IND,WR,300,52,
249,Bryce Oliver,TEN,WR,359,110,
250,Johnny Mundt,JAC,TE,250,0,
251,Tahj Brooks,CIN,RB,225,-26,
252,Casey Washington,ATL,WR,258,6,
253,James Proche II,TEN,WR,298,45,
254,Andre Baccellia,ARI,WR,289,35,
255,Mo Alie-Cox,IND,TE,284,29,
256,Cade Stover,HOU,TE,287,31,
257,Mitchell Evans,CAR,TE,276,19,
258,Drew Sample,CIN,TE,269,11,
259,Jimmy Horn Jr.,CAR,WR,273,14,
260,Kaleb Johnson,PIT,RB,217,-43,
261,LeQuint Allen Jr.,JAC,RB,218,-43,
262,Josh Oliver,MIN,TE,285,23,
263,Dante Pettis,NO,WR,307,44,
264,Grant Calcaterra,PHI,TE,286,22,
265,Hunter Luepke,DAL,RB,249,-16,
266,Ross Dwelley,DET,TE,309,43,
267,Charlie Jones,CIN,WR,299,32,
268,Luke Farrell,SF,TE,291,23,
269,Ameer Abdullah,IND,RB,240,-29,
270,Dare Ogunbowale,HOU,RB,252,-18,
271,Konata Mumpfield,LAR,WR,295,24,
272,Kameron Johnson,TB,WR,315,43,
273,Josh Whyle,GB,TE,265,-8,
274,Elijah Mitchell,KC,RB,247,-27,
275,Jermaine Burton,CIN,WR,303,28,
276,Jalen Tolbert,DAL,WR,281,5,
277,Austin Trammell,JAC,WR,305,28,
278,Devontez Walker,BAL,WR,279,1,
279,Kylen Granson,PHI,TE,311,32,
280,Charlie Woerner,ATL,TE,306,26,
281,Connor Heyward,PIT,TE,304,23,
