"Player","DK Pos","Team","Opp","DK Salary","DK Proj","DK Value","Small Field","Large Field","DK Floor","DK Ceiling","id"
"Kyle Monangai","RB","CHI","@MIN","$5,300","8.0","-5.5","0.2%","0.5%","2.0","16.7","40742402"
"Keenan Allen","WR","LAC","@JAX","$5,300","11.6","-1.9","1.2%","2.6%","3.6","22.1","40742652"
"Tony Pollard","RB","TEN","HOU","$5,300","10.2","-3.3","0.3%","0.6%","3.6","19.4","40742400"
"DJ Moore","WR","CHI","@MIN","$5,200","9.5","-3.8","1.6%","2.0%","2.6","18.9","40742658"
"Kareem Hunt","RB","KC","@DEN","$5,200","10.9","-2.4","1.3%","2.0%","3.4","21.0","40742406"
"J.J. McCarthy","QB","MIN","CHI","$5,200","19.8","3.7","13.0%","12.6%","10.4","30.9","40742296"
"Trevor Lawrence","QB","JAX","LAC","$5,100","16.0","0.1","1.2%","2.3%","8.0","25.3","40742297"
"Parker Washington","WR","JAX","LAC","$5,100","13.2","0.1","15.3%","12.2%","4.6","24.6","40742662"
"Jauan Jennings","WR","SF","@ARI","$5,100","12.4","-0.7","15.3%","12.2%","3.9","23.8","40742660"
"Kenneth Walker III","RB","SEA","@LA","$5,100","10.2","-2.9","0.4%","0.7%","3.0","19.9","40742408"
"Zach Charbonnet","RB","SEA","@LA","$5,100","9.5","-3.7","0.1%","0.5%","2.7","18.3","40742410"
"Zonovan Knight","RB","ARI","SF","$5,000","11.9","-1.0","3.7%","5.1%","3.9","22.4","40742412"
"Romeo Doubs","WR","GB","@NYG","$5,000","12.6","-0.3","10.0%","8.2%","3.7","24.3","40742664"
"Quentin Johnston","WR","LAC","@JAX","$5,000","10.3","-2.6","5.1%","5.1%","2.7","20.4","40742666"
"George Kittle","TE","SF","@ARI","$5,000","13.5","0.6","15.5%","14.2%","4.4","25.1","40743032"
"Sean Tucker","RB","TB","@BUF","$5,000","8.4","-4.6","0.1%","0.2%","2.3","16.9","40742414"
"Jacoby Brissett","QB","ARI","SF","$4,900","17.5","2.2","24.1%","17.2%","9.1","27.4","40742299"
"Xavier Worthy","WR","KC","@DEN","$4,900","11.8","-0.9","6.1%","5.8%","3.6","22.6","40742670"
"Rashid Shaheed","WR","SEA","@LA","$4,900","8.3","-4.4","0.3%","0.6%","1.6","17.7","40742668"
"Tyjae Spears","RB","TEN","HOU","$4,900","9.5","-3.2","0.1%","0.6%","3.3","17.9","40742416"
"Tyler Allgeier","RB","ATL","CAR","$4,800","7.8","-4.7","0.2%","0.5%","1.6","16.8","40742420"
"Bryce Young","QB","CAR","@ATL","$4,800","13.2","-1.8","0.1%","0.4%","6.2","21.4","40742300"
"Chuba Hubbard","RB","CAR","@ATL","$4,800","4.1","-8.4","0.0%","0.0%","0.6","9.7","40742422"
"Travis Kelce","TE","KC","@DEN","$4,800","10.8","-1.7","1.5%","2.5%","3.2","20.3","40743034"
"Michael Penix Jr.","QB","ATL","CAR","$4,700","15.4","0.7","3.2%","4.5%","7.6","24.7","40742301"
"Nick Chubb","RB","HOU","@TEN","$4,700","6.2","-6.1","0.1%","0.1%","1.4","13.2","40742426"
"Bhayshul Tuten","RB","JAX","LAC","$4,700","5.0","-7.4","0.1%","0.1%","0.8","11.4","40742424"
"Tez Johnson","WR","TB","@BUF","$4,700","9.7","-2.6","1.3%","1.9%","2.6","19.3","40742676"
"Calvin Ridley","WR","TEN","HOU","$4,700","7.1","-5.2","0.2%","0.5%","1.2","15.2","40742678"
"Emanuel Wilson","RB","GB","@NYG","$4,600","5.6","-6.6","0.1%","0.1%","1.1","12.5","40742430"
"Jakobi Meyers","WR","JAX","LAC","$4,600","10.7","-1.4","1.5%","2.4%","3.1","20.7","40742680"
"Oronde Gadsden II","TE","LAC","@JAX","$4,600","13.0","0.9","15.1%","14.5%","4.5","23.5","40743036"
"Jameis Winston","QB","NYG","GB","$4,600","14.6","0.2","4.7%","3.8%","7.1","23.5","40742303"
"Devin Singletary","RB","NYG","GB","$4,600","7.1","-5.0","0.1%","0.2%","2.0","14.2","40742428"
"Emari Demercado","RB","ARI","SF","$4,500","7.3","-4.6","0.1%","0.2%","1.8","15.1","40742434"
"Keon Coleman","WR","BUF","TB","$4,500","7.0","-4.9","0.2%","0.5%","1.1","15.4","40742686"
"Davis Mills","QB","HOU","@TEN","$4,500","15.4","1.4","2.7%","2.4%","7.6","24.5","40742304"
"Brian Robinson Jr.","RB","SF","@ARI","$4,500","5.3","-6.6","0.1%","0.1%","0.8","12.2","40742432"
"Jerry Jeudy","WR","CLE","BAL","$4,400","9.2","-2.5","1.5%","2.6%","2.5","17.9","40742690"
"Christian Watson","WR","GB","@NYG","$4,400","9.0","-2.8","2.3%","3.0%","1.5","19.1","40742688"
"Blake Corum","RB","LA","SEA","$4,400","6.6","-5.1","0.1%","0.1%","1.4","14.4","40742438"
"Ty Johnson","RB","BUF","TB","$4,300","3.5","-8.1","0.0%","0.0%","0.2","9.1","40742440"
"Chris Brooks","RB","GB","@NYG","$4,300","0.9","-10.6","0.0%","0.0%","0.0","3.6","40742444"
"Hollywood Brown","WR","KC","@DEN","$4,300","6.0","-5.5","0.1%","0.2%","0.8","13.5","40742692"
"Kendrick Bourne","WR","SF","@ARI","$4,300","3.0","-8.5","0.0%","0.1%","0.0","8.4","40742694"
"Cam Ward","QB","TEN","HOU","$4,300","11.2","-2.2","0.1%","0.2%","4.9","18.7","40742305"
"Dillon Gabriel","QB","CLE","BAL","$4,200","12.1","-1.1","0.1%","0.2%","5.7","19.7","40742306"
"Dylan Sampson","RB","CLE","BAL","$4,200","3.6","-7.7","0.0%","0.0%","0.4","8.5","40742448"
"Tyler Badie","RB","DEN","KC","$4,200","2.6","-8.7","0.1%","0.1%","0.0","7.0","40742442"
"Matthew Golden","WR","GB","@NYG","$4,200","7.0","-4.3","0.3%","0.5%","1.3","15.0","40742696"
"Sterling Shepard","WR","TB","@BUF","$4,200","6.6","-4.8","0.1%","0.2%","1.3","13.9","40742698"
"Cade Otton","TE","TB","@BUF","$4,200","10.5","-0.8","2.9%","3.8%","3.7","18.8","40743040"
"Brashard Smith","RB","KC","@DEN","$4,100","5.7","-5.4","0.1%","0.1%","1.2","12.4","40742450"
"Theo Johnson","TE","NYG","GB","$4,100","11.3","0.1","9.4%","8.9%","3.9","20.2","40743042"
"Kenneth Gainwell","RB","PIT","CIN","$4,100","7.0","-4.2","0.1%","0.2%","1.6","14.9","40742452"
"Cooper Kupp","WR","SEA","@LA","$4,100","7.9","-3.2","2.0%","2.2%","1.8","16.2","40742700"
"Chimere Dike","WR","TEN","HOU","$4,100","6.2","-5.0","0.3%","0.3%","1.2","12.9","40742702"
"Michael Carter","RB","ARI","SF","$4,000","0.8","-10.2","0.0%","0.0%","0.0","3.0","40742538"
"Nathan Carter","RB","ATL","CAR","$4,000","0.1","-10.8","0.0%","0.0%","0.0","0.5","40742458"
"Kyle Pitts Sr.","TE","ATL","CAR","$4,000","11.1","0.2","9.5%","9.8%","3.6","20.4","40743044"
"Keaton Mitchell","RB","BAL","@CLE","$4,000","5.2","-5.7","0.1%","0.1%","0.8","12.1","40742600"
"Patrick Ricard","RB","BAL","@CLE","$4,000","0.2","-10.7","0.0%","0.0%","0.0","0.9","40742606"
"Rasheen Ali","RB","BAL","@CLE","$4,000","0.7","-10.2","0.0%","0.0%","0.0","2.8","40742602"
"Ray Davis","RB","BUF","TB","$4,000","2.1","-8.9","0.0%","0.0%","0.0","6.4","40742462"
"Reggie Gilliam","RB","BUF","TB","$4,000","0.1","-10.8","0.0%","0.0%","0.0","0.6","40742466"
"Trevor Etienne","RB","CAR","@ATL","$4,000","0.2","-10.8","0.0%","0.0%","0.0","0.9","40742586"
"Brittain Brown","RB","CHI","@MIN","$4,000","0.1","-10.9","0.0%","0.0%","0.0","0.4","40742482"
"Tahj Brooks","RB","CIN","@PIT","$4,000","1.9","-9.1","0.0%","0.0%","0.0","5.8","40742484"
"Kendall Milton","RB","CIN","@PIT","$4,000","0.2","-10.8","0.0%","0.0%","0.0","0.8","40742488"
"Jerome Ford","RB","CLE","BAL","$4,000","2.5","-8.4","0.0%","0.0%","0.0","6.6","40742490"
"Jaleel McLaughlin","RB","DEN","KC","$4,000","2.4","-8.6","0.0%","0.0%","0.0","6.7","40742494"
"Adam Prentice","RB","DEN","KC","$4,000","0.4","-10.6","0.0%","0.0%","0.0","1.7","40742496"
"Dontayvion Wicks","WR","GB","@NYG","$4,000","5.1","-5.8","0.1%","0.2%","0.4","12.2","40742706"
"British Brooks","RB","HOU","@TEN","$4,000","0.3","-10.7","0.0%","0.0%","0.0","1.2","40742472"
"Dameon Pierce","RB","HOU","@TEN","$4,000","0.1","-10.9","0.0%","0.0%","0.0","0.4","40742468"
"Dare Ogunbowale","RB","HOU","@TEN","$4,000","0.6","-10.3","0.0%","0.0%","0.0","2.5","40742470"
"LeQuint Allen Jr.","RB","JAX","LAC","$4,000","1.6","-9.3","0.0%","0.0%","0.0","5.0","40742594"
"Elijah Mitchell","RB","KC","@DEN","$4,000","1.1","-9.9","0.0%","0.0%","-0.1","3.7","40742512"
"Amar Johnson","RB","LAC","@JAX","$4,000","0.2","-10.7","0.0%","0.0%","0.0","1.1","40742556"
"Scott Matlock","RB","LAC","@JAX","$4,000","0.5","-10.5","0.0%","0.0%","0.0","1.9","40742558"
"Trayveon Williams","RB","LAC","@JAX","$4,000","1.5","-9.5","0.0%","0.0%","0.0","4.6","40742550"
"Zavier Scott","RB","MIN","CHI","$4,000","0.3","-10.7","0.0%","0.0%","0.0","1.2","40742456"
"C.J. Ham","RB","MIN","CHI","$4,000","0.4","-10.5","0.0%","0.0%","0.0","1.9","40742528"
"Kaleb Johnson","RB","PIT","CIN","$4,000","1.6","-9.3","0.0%","0.0%","0.0","5.2","40742544"
"Calvin Austin III","WR","PIT","CIN","$4,000","9.3","-1.7","7.1%","7.0%","2.0","19.1","40742704"
"Kyle Juszczyk","RB","SF","@ARI","$4,000","3.0","-8.0","0.0%","0.0%","0.0","7.9","40742568"
"Jalen Milroe","QB","SEA","@LA","$4,000","0.1","-12.4","0.0%","0.0%","0.0","0.6","40742346"
"George Holani","RB","SEA","@LA","$4,000","0.7","-10.2","0.0%","0.0%","0.0","2.7","40742570"
"Brady Russell","RB","SEA","@LA","$4,000","0.2","-10.7","0.0%","0.0%","0.0","1.0","40742578"
"Robbie Ouzts","RB","SEA","@LA","$4,000","0.1","-10.8","0.0%","0.0%","0.0","0.6","40742574"
