"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Rashid Shaheed","WR","SEA","@TEN","7.8","6.7","7.7","5.5","6.6","7.7","17.2","15.3","Main"
"Kyle Monangai","RB","CHI","PIT","7.7","7.1","7.6","6.5","7.0","7.6","16.2","15.3","Main"
"Brenton Strange","TE","JAX","@ARI","7.7","6.2","9.3","4.6","6.1","7.7","15.3","12.7","Main"
"Devin Singletary","RB","NYG","@DET","7.7","6.9","7.6","6.1","6.8","7.5","15.2","14.1","Main"
"Michael Badgley","K","IND","@KC","7.7","7.7","8.3","7.7","7.7","7.7","13.7","13.7","Main"
"BUF DST","DST","BUF","@HOU","7.7","7.7","8.7","7.7","7.7","7.7","15.1","15.1","Thursday"
"Mack Hollins","WR","NE","@CIN","7.6","6.5","7.5","5.2","6.3","7.5","16.8","14.8","Main"
"Evan McPherson","K","CIN","NE","7.6","7.6","8.2","7.6","7.6","7.6","13.7","13.7","Main"
"Michael Carter","RB","ARI","JAX","7.4","6.3","7.4","5.3","6.3","7.3","15.0","13.4","Main"
"Ryan Fitzgerald","K","CAR","@SF","7.4","7.4","8.0","7.4","7.4","7.4","13.4","13.4","Monday"
"Jayden Higgins","WR","HOU","BUF","7.3","5.9","7.2","4.5","5.9","7.2","15.4","13.1","Thursday"
"Blake Corum","RB","LA","TB","7.3","6.8","7.2","6.3","6.7","7.1","15.7","15.0","Sunday"
"Will Reichard","K","MIN","@GB","7.3","7.3","7.9","7.3","7.3","7.3","13.5","13.5","Main"
"Isaiah Likely","TE","BAL","NYJ","7.2","5.9","8.5","4.6","5.9","7.2","15.1","12.9","Main"
"Andre Szmyt","K","CLE","@LV","7.2","7.2","7.9","7.2","7.2","7.2","13.6","13.6","Main"
"Nick Folk","K","NYJ","@BAL","7.2","7.2","7.8","7.2","7.2","7.2","13.5","13.5","Main"
"Joshua Palmer","WR","BUF","@HOU","7.1","5.9","7.0","4.5","5.7","7.0","15.5","13.4","Thursday"
"Jalen Coker","WR","CAR","@SF","7.1","5.7","7.0","4.2","5.6","7.0","14.8","12.5","Monday"
"Younghoe Koo","K","NYG","@DET","7.0","7.0","7.6","7.0","7.0","7.0","12.9","12.9","Main"
"Joey Slye","K","TEN","SEA","7.0","7.0","7.6","7.0","7.0","7.0","13.2","13.2","Main"
"DeAndre Hopkins","WR","BAL","NYJ","6.9","5.8","6.8","4.6","5.7","6.8","15.5","13.5","Main"
"Devaughn Vele","WR","NO","ATL","6.9","5.6","6.9","4.3","5.6","6.9","14.9","12.8","Main"
"ATL DST","DST","ATL","@NO","6.9","6.9","7.8","6.9","6.9","6.9","14.2","14.2","Main"
"Brock Wright","TE","DET","NYG","6.8","5.4","8.1","4.1","5.4","6.7","14.2","12.0","Main"
"Darnell Washington","TE","PIT","@CHI","6.8","5.4","8.2","4.0","5.4","6.8","13.9","11.5","Main"
"NE DST","DST","NE","@CIN","6.8","6.8","7.6","6.8","6.8","6.8","13.9","13.9","Main"
"NO DST","DST","NO","ATL","6.8","6.8","7.7","6.8","6.8","6.8","13.8","13.8","Main"
"JAX DST","DST","JAX","@ARI","6.7","6.7","7.5","6.7","6.7","6.7","13.8","13.8","Main"
"Xavier Legette","WR","CAR","@SF","6.6","5.4","6.5","4.1","5.3","6.5","14.5","12.5","Monday"
"Matthew Golden","WR","GB","MIN","6.6","5.5","6.5","4.3","5.4","6.5","14.5","12.6","Main"
"Tim Patrick","WR","JAX","@ARI","6.6","5.4","6.6","4.2","5.4","6.5","14.7","12.7","Main"
"TJ Hockenson","TE","MIN","@GB","6.6","5.0","8.2","3.4","5.0","6.6","12.8","10.1","Main"
"SF DST","DST","SF","CAR","6.6","6.6","7.4","6.6","6.6","6.6","13.7","13.7","Monday"
"Tyler Allgeier","RB","ATL","@NO","6.5","6.0","6.4","5.4","5.9","6.4","14.1","13.3","Main"
"Marquise Brown","WR","KC","IND","6.5","5.3","6.4","4.1","5.3","6.4","14.5","12.5","Main"
"Michael Mayer","TE","LV","CLE","6.5","5.1","7.9","3.7","5.1","6.5","13.2","10.8","Main"
"Demario Douglas","WR","NE","@CIN","6.5","5.4","6.5","4.3","5.4","6.5","14.6","12.8","Main"
"Chig Okonkwo","TE","TEN","SEA","6.5","5.0","7.9","3.5","5.0","6.4","12.7","10.3","Main"
"KC DST","DST","KC","IND","6.5","6.5","7.2","6.5","6.5","6.5","13.5","13.5","Main"
"Dawson Knox","TE","BUF","@HOU","6.4","5.1","7.6","3.9","5.1","6.4","13.4","11.2","Thursday"
"Brian Robinson","RB","SF","CAR","6.4","6.1","6.4","5.8","6.0","6.3","14.6","14.1","Monday"
"LA DST","DST","LA","TB","6.4","6.4","7.2","6.4","6.4","6.4","13.4","13.4","Sunday"
"David Njoku","TE","CLE","@LV","6.3","5.0","7.6","3.7","5.0","6.3","12.8","10.6","Main"
"Jonnu Smith","TE","PIT","@CHI","6.3","5.0","7.5","3.7","5.0","6.2","12.9","10.7","Main"
