"Player","Pos","Team","Opp","DK Proj","FD Proj","FFPC Proj","Standard Proj","Half PPR Proj","Full PPR Proj","DK Ceiling","FD Ceiling","Slate"
"Dare Ogunbowale","RB","HOU","BUF","0.6","0.5","0.6","0.4","0.5","0.6","2.6","2.1","Thursday"
"Quintin Morris","TE","JAX","@ARI","0.6","0.5","0.7","0.4","0.5","0.6","2.4","2.0","Main"
"Connor Heyward","TE","PIT","@CHI","0.6","0.5","0.7","0.4","0.5","0.6","2.4","1.9","Main"
"Payne Durham","TE","TB","@LA","0.6","0.5","0.8","0.4","0.5","0.6","2.7","2.1","Sunday"
"Austin Trammell","WR","JAX","@ARI","0.5","0.4","0.5","0.3","0.4","0.5","2.1","1.7","Main"
"Ian Thomas","TE","LV","CLE","0.5","0.4","0.6","0.3","0.4","0.5","1.9","1.5","Main"
"Terrell Jennings","RB","NE","@CIN","0.5","0.4","0.5","0.4","0.4","0.5","2.1","2.0","Main"
"Dante Pettis","WR","NO","ATL","0.5","0.4","0.5","0.3","0.4","0.5","2.0","1.6","Main"
"Jermar Jefferson","RB","ARI","JAX","0.4","0.4","0.4","0.4","0.4","0.4","1.6","1.6","Main"
"Trevor Etienne","RB","CAR","@SF","0.4","0.4","0.4","0.4","0.4","0.4","1.9","1.7","Monday"
"Charlie Jones","WR","CIN","NE","0.4","0.4","0.4","0.3","0.4","0.4","1.8","1.5","Main"
"CJ Ham","RB","MIN","@GB","0.4","0.3","0.4","0.2","0.3","0.4","1.8","1.3","Main"
"Kameron Johnson","WR","TB","@LA","0.4","0.4","0.4","0.3","0.4","0.4","1.7","1.5","Sunday"
"Teagan Quitoriano","TE","ATL","@NO","0.3","0.2","0.4","0.2","0.2","0.3","1.2","0.9","Main"
"Devontez Walker","WR","BAL","NYJ","0.3","0.2","0.3","0.2","0.2","0.3","1.2","1.0","Main"
"Keleki Latu","TE","BUF","@HOU","0.3","0.2","0.3","0.2","0.2","0.3","1.2","0.9","Thursday"
"Durham Smythe","TE","CHI","PIT","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Jermaine Burton","WR","CIN","NE","0.3","0.3","0.3","0.2","0.3","0.3","1.2","1.0","Main"
"Jalen Tolbert","WR","DAL","PHI","0.3","0.3","0.3","0.2","0.3","0.3","1.3","1.1","Main"
"Pierre Strong","RB","GB","MIN","0.3","0.3","0.3","0.3","0.3","0.3","1.5","1.5","Main"
"Bo Melton","WR","GB","MIN","0.3","0.2","0.3","0.2","0.2","0.3","1.2","0.9","Main"
"Drew Ogletree","TE","IND","@KC","0.3","0.2","0.4","0.2","0.2","0.3","1.2","0.9","Main"
"Konata Mumpfield","WR","LA","TB","0.3","0.3","0.3","0.2","0.3","0.3","1.4","1.2","Sunday"
"Eric Gray","RB","NYG","@DET","0.3","0.3","0.3","0.3","0.3","0.3","1.2","1.2","Main"
"Darius Cooper","WR","PHI","@DAL","0.3","0.2","0.3","0.2","0.2","0.3","1.1","1.0","Main"
"Ben Skowronek","WR","PIT","@CHI","0.3","0.2","0.3","0.2","0.2","0.3","1.1","0.9","Main"
"Cody White","WR","SEA","@TEN","0.3","0.2","0.3","0.2","0.2","0.3","1.1","1.0","Main"
"Josiah Deguara","TE","ARI","JAX","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Main"
"Pharaoh Brown","TE","ARI","JAX","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.5","Main"
"Brittain Brown","RB","CHI","PIT","0.2","0.2","0.2","0.2","0.2","0.2","0.8","0.8","Main"
"Gage Larvadain","WR","CLE","@LV","0.2","0.2","0.2","0.1","0.2","0.2","0.8","0.6","Main"
"Anthony Firkser","TE","DET","NYG","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.5","Main"
"Jakob Johnson","RB","HOU","BUF","0.2","0.2","0.2","0.1","0.2","0.2","0.9","0.8","Thursday"
"Nikko Remigio","WR","KC","IND","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.5","Main"
"Robert Tonyan","TE","KC","IND","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.6","Main"
"Dylan Laube","RB","LV","CLE","0.2","0.1","0.2","0.1","0.1","0.2","0.8","0.7","Main"
"Brennan Presley","WR","LA","TB","0.2","0.2","0.2","0.1","0.2","0.2","0.8","0.7","Sunday"
"Jack Westover","TE","NE","@CIN","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.6","Main"
"Allen Lazard","WR","NYJ","@BAL","0.2","0.2","0.2","0.1","0.2","0.2","0.9","0.7","Main"
"Andrew Beck","TE","NYJ","@BAL","0.2","0.2","0.3","0.1","0.2","0.2","0.9","0.7","Main"
"Owen Wright","RB","TB","@LA","0.2","0.2","0.2","0.2","0.2","0.2","0.8","0.8","Sunday"
"Ryan Miller","WR","TB","@LA","0.2","0.1","0.2","0.1","0.1","0.2","0.7","0.6","Sunday"
"Devin Culp","TE","TB","@LA","0.2","0.1","0.2","0.1","0.1","0.2","0.6","0.5","Sunday"
"Nathan Carter","RB","ATL","@NO","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.5","Main"
"Dylan Drummond","WR","ATL","@NO","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Patrick Ricard","RB","BAL","NYJ","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"LaJohntay Wester","WR","BAL","NYJ","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Reggie Gilliam","TE","BUF","@HOU","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Thursday"
"Nikola Kalinic","TE","CHI","PIT","0.1","0.1","0.2","0.1","0.1","0.1","0.5","0.4","Main"
"Kaden Davis","WR","CLE","@LV","0.1","0.1","0.1","0.1","0.1","0.1","0.4","0.4","Main"
"Blake Whiteheart","TE","CLE","@LV","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Brenden Bates","TE","CLE","@LV","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Sione Vaki","RB","DET","NYG","0.1","0.1","0.1","0.1","0.1","0.1","0.7","0.7","Main"
"Jacob Saylors","RB","DET","NYG","0.1","0.1","0.1","0.1","0.1","0.1","0.8","0.8","Main"
"British Brooks","RB","HOU","BUF","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.6","Thursday"
"Anthony Gould","WR","IND","@KC","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Carter Runyon","TE","LV","CLE","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Zavier Scott","RB","MIN","@GB","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","Main"
"Ben Yurosek","TE","MIN","@GB","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Tai Felton","WR","MIN","@GB","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"CJ Dippre","TE","NE","@CIN","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.4","Main"
"Zaire Mitchell-Paden","TE","NO","ATL","0.1","0.1","0.2","0.1","0.1","0.1","0.5","0.4","Main"
"Chris Manhertz","TE","NYG","@DET","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Xavier Gipson","WR","PHI","@DAL","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Cameron Latu","TE","PHI","@DAL","0.1","0.1","0.2","0.1","0.1","0.1","0.5","0.4","Main"
"Scotty Miller","WR","PIT","@CHI","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Main"
"Skyy Moore","WR","SF","CAR","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.5","Monday"
"Jake Tonges","TE","SF","CAR","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Monday"
"Brady Russell","RB","SEA","@TEN","0.1","0.1","0.1","0.1","0.1","0.1","0.5","0.4","Main"
"Robbie Ouzts","RB","SEA","@TEN","0.1","0.1","0.1","0.1","0.1","0.1","0.6","0.4","Main"
"Nick Kallerup","TE","SEA","@TEN","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Kalel Mullings","RB","TEN","SEA","0.1","0.1","0.1","0.1","0.1","0.1","0.3","0.3","Main"
"David Martin-Robinson","TE","TEN","SEA","0.1","0.1","0.2","0.1","0.1","0.1","0.6","0.5","Main"
"Julius Chestnut","RB","TEN","SEA","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.2","Main"
